Country_Name,Literacy,GDPpc,Workforce,Lifeex,Unemployment,Urbanpct,Elictricity
Czech Republic,,886.4118987,350536721,62.31687056,5.299874425,29.96427518,34.15507525
Denmark,,708.6208977,257785629,60.61280243,5.994247424,30.23909781,28.79061822
Djibouti,,158283.0763,,81.79268293,,14.41,100
Dominica,,3214.014195,8250892,74.462,4.110000134,18.211,87.76
"Egypt, Arab Rep.",,1869.990532,1074566079,66.52262186,4.302030751,37.24663083,72.56159921
Equatorial Guinea,,4115.572424,2618604848,69.12368023,5.081194689,46.23119332,78.95979755
Eritrea,,1350.643252,874345,51.53,28.19000053,25.31,20.71500206
Eswatini,,7503.667153,1217961767,74.71366641,4.989066376,56.23672801,98.55432692
Ethiopia,,14357.73523,1495317,73.56341463,15.39000034,66.741,100
Faroe Islands,,115761.5077,243419,80.98780488,4.900000095,88.906,100
Fiji,,13702.68947,1036403,73.57560976,16.20999908,67.869,100
Finland,,66813.34974,342683,82.937,2.559999943,100,100
France,,,,78.87073171,,,65.94493866
French Polynesia,,3039.916016,11751089,74.377,8.909999847,58.581,92.98812866
Gabon,,162155.4986,,,,100,100
"Gambia, The",,1970.571373,1261601,70.117,6.679999828,42.589,99.99860382
Georgia,,454.963464,10958015,63.836,2.246999979,32.58,14.3
Germany,,7395.6878,186958,76.259,4.681000233,36.849,98.25430298
Ghana,,8276.267767,133036336,72.47396937,10.48905391,62.87250001,96.51296153
Gibraltar,,9912.582362,51691471,76.251,5.190000057,78.111,99.24835968
Greenland,,3297.558144,,,,74.038,89.91960679
